case_id,image_name,kernel_id,noise_sigma,best_method,best_ssim,margin,ranking
peppers_gaussian_sigma1_0.10,peppers,gaussian_sigma1,0.1,tv_montalto,0.8236649514256715,0.31427688095971473,tv_montalto:0.8237 > wiener:0.5094 > richardson_lucy:0.2510
peppers_motion_L10_0.10,peppers,motion_L10,0.1,tv_montalto,0.7162455084732524,0.2975141444124901,tv_montalto:0.7162 > wiener:0.4187 > richardson_lucy:0.2268
peppers_motion_L10_0.05,peppers,motion_L10,0.05,tv_montalto,0.8100214539631188,0.29223246200102215,tv_montalto:0.8100 > wiener:0.5178 > richardson_lucy:0.3725
peppers_gaussian_sigma1_0.05,peppers,gaussian_sigma1,0.05,tv_montalto,0.8873346310896874,0.2527767214804292,tv_montalto:0.8873 > wiener:0.6346 > richardson_lucy:0.4108
sailboat_motion_L10_0.10,sailboat,motion_L10,0.1,tv_montalto,0.6653814492441373,0.2381514807638196,tv_montalto:0.6654 > wiener:0.4272 > richardson_lucy:0.2747
sailboat_motion_L10_0.05,sailboat,motion_L10,0.05,tv_montalto,0.7371689547017701,0.21400474933420666,tv_montalto:0.7372 > wiener:0.5232 > richardson_lucy:0.4214
sailboat_gaussian_sigma1_0.10,sailboat,gaussian_sigma1,0.1,tv_montalto,0.7511322645580173,0.2129912512087876,tv_montalto:0.7511 > wiener:0.5381 > richardson_lucy:0.3174
peppers_motion_L10_0.01,peppers,motion_L10,0.01,tv_montalto,0.9015546784207821,0.17475289511722514,tv_montalto:0.9016 > richardson_lucy:0.7268 > wiener:0.6390
sailboat_gaussian_sigma1_0.05,sailboat,gaussian_sigma1,0.05,tv_montalto,0.8341488638269902,0.17436197667796915,tv_montalto:0.8341 > wiener:0.6598 > richardson_lucy:0.4814
peppers_disk_R5_0.10,peppers,disk_R5,0.1,tv_montalto,0.7235821872893062,0.15028897772033023,tv_montalto:0.7236 > wiener:0.5733 > richardson_lucy:0.2596
peppers_disk_R5_0.05,peppers,disk_R5,0.05,tv_montalto,0.7651990427121833,0.13401488399251982,tv_montalto:0.7652 > wiener:0.6312 > richardson_lucy:0.4257
peppers_gaussian_sigma1_0.01,peppers,gaussian_sigma1,0.01,tv_montalto,0.9549885273747444,0.12109153471526501,tv_montalto:0.9550 > richardson_lucy:0.8339 > wiener:0.7832
sailboat_disk_R5_0.10,sailboat,disk_R5,0.1,tv_montalto,0.5911601914843111,0.11375247420576523,tv_montalto:0.5912 > wiener:0.4774 > richardson_lucy:0.2645
peppers_disk_R5_0.01,peppers,disk_R5,0.01,tv_montalto,0.8304349761732426,0.09887694065030639,tv_montalto:0.8304 > richardson_lucy:0.7316 > wiener:0.6634
sailboat_motion_L10_0.01,sailboat,motion_L10,0.01,tv_montalto,0.8387123761811852,0.09426353049543124,tv_montalto:0.8387 > richardson_lucy:0.7444 > wiener:0.6741
sailboat_disk_R5_0.05,sailboat,disk_R5,0.05,tv_montalto,0.6310739778958673,0.0896678295504506,tv_montalto:0.6311 > wiener:0.5414 > richardson_lucy:0.4117
sailboat_gaussian_sigma1_0.01,sailboat,gaussian_sigma1,0.01,tv_montalto,0.9185790367054939,0.06928252121001477,tv_montalto:0.9186 > richardson_lucy:0.8493 > wiener:0.8091
peppers_gaussian_sigma3_0.10,peppers,gaussian_sigma3,0.1,tv_montalto,0.717401493830597,0.06884100063610632,tv_montalto:0.7174 > wiener:0.6486 > richardson_lucy:0.2725
mandrill_motion_L10_0.10,mandrill,motion_L10,0.1,tv_montalto,0.44907624369202975,0.06521918001764776,tv_montalto:0.4491 > wiener:0.3839 > richardson_lucy:0.2223
sailboat_gaussian_sigma3_0.10,sailboat,gaussian_sigma3,0.1,tv_montalto,0.5790391083165143,0.056739383196544924,tv_montalto:0.5790 > wiener:0.5223 > richardson_lucy:0.2694
mandrill_gaussian_sigma1_0.10,mandrill,gaussian_sigma1,0.1,tv_montalto,0.5275316572303846,0.05328938687200879,tv_montalto:0.5275 > wiener:0.4742 > richardson_lucy:0.2473
peppers_gaussian_sigma3_0.05,peppers,gaussian_sigma3,0.05,tv_montalto,0.7636047800086767,0.05131828031300645,tv_montalto:0.7636 > wiener:0.7123 > richardson_lucy:0.4557
sailboat_gaussian_sigma3_0.05,sailboat,gaussian_sigma3,0.05,tv_montalto,0.6229131600364377,0.038575167038835345,tv_montalto:0.6229 > wiener:0.5843 > richardson_lucy:0.4176
sailboat_disk_R5_0.01,sailboat,disk_R5,0.01,tv_montalto,0.7118033795199804,0.033582871042759144,tv_montalto:0.7118 > richardson_lucy:0.6782 > wiener:0.6416
mandrill_disk_R5_0.10,mandrill,disk_R5,0.1,tv_montalto,0.36639991409641165,0.026691808926600502,tv_montalto:0.3664 > wiener:0.3397 > richardson_lucy:0.1682
mandrill_motion_L10_0.05,mandrill,motion_L10,0.05,tv_montalto,0.5114689721854375,0.021867237505022397,tv_montalto:0.5115 > wiener:0.4896 > richardson_lucy:0.3949
peppers_gaussian_sigma3_0.01,peppers,gaussian_sigma3,0.01,tv_montalto,0.8110184059185078,0.00817401695804898,tv_montalto:0.8110 > wiener:0.8028 > richardson_lucy:0.7606
mandrill_gaussian_sigma3_0.10,mandrill,gaussian_sigma3,0.1,tv_montalto,0.3593515772032204,0.005662784910965668,tv_montalto:0.3594 > wiener:0.3537 > richardson_lucy:0.1718
