method,noise_sigma,param,mean_ssim,mean_psnr
wiener,0.01,0.01,0.5978222271623981,22.842124274031278
wiener,0.01,0.005,0.5873884161686602,23.047045385075574
wiener,0.01,0.001,0.46382100769458523,21.44531480734793
wiener,0.01,0.0005,0.3829400976176349,19.685292790695474
wiener,0.01,0.0001,0.20783989991277751,14.447925229936748
richardson_lucy,0.01,30.0,0.5617555767384351,22.255864635181865
richardson_lucy,0.01,18.0,0.5468128111693195,21.967187768237824
richardson_lucy,0.01,10.0,0.5305320498124352,21.67195352900718
richardson_lucy,0.01,6.0,0.5181095897348462,21.44518371670497
tv_montalto,0.01,0.005,0.590614906301394,22.730830941346415
tv_montalto,0.01,0.01,0.5651321172734196,22.252566867457315
tv_montalto,0.01,0.02,0.539309936965466,21.807086307543187
tv_montalto,0.01,0.04,0.5121677166077493,21.35204675875296
wiener,0.05,0.1,0.497038913679045,19.90887994213925
wiener,0.05,0.05,0.4852696114289105,20.97056801599957
wiener,0.05,0.01,0.35552530625807427,19.906115531025637
wiener,0.05,0.005,0.2754759303427164,18.074408495714625
wiener,0.05,0.001,0.1257347939833135,12.379140260957604
richardson_lucy,0.05,16.0,0.33280653740903204,20.053731886491658
richardson_lucy,0.05,10.0,0.3297580618067674,20.036195736746173
richardson_lucy,0.05,6.0,0.3234038305019844,19.963169142545524
richardson_lucy,0.05,4.0,0.31732422424897083,19.88550448212139
tv_montalto,0.05,0.02,0.5324313684542792,21.667032172618136
tv_montalto,0.05,0.04,0.5092066647202036,21.288426926940716
tv_montalto,0.05,0.08,0.48334145057852557,20.859079525854415
tv_montalto,0.05,0.12,0.4688404551906406,20.60731200511023
wiener,0.1,0.2,0.44651488145522694,17.67947350127024
wiener,0.1,0.1,0.42812247926972474,19.55219780903499
wiener,0.1,0.05,0.3783581284495386,19.986305238491408
wiener,0.1,0.01,0.2057309903563513,16.527431976617
wiener,0.1,0.005,0.14167185942548993,14.005674601326556
richardson_lucy,0.1,12.0,0.19260827720376994,17.230356344427722
richardson_lucy,0.1,8.0,0.1909331282975253,17.319431373253103
richardson_lucy,0.1,5.0,0.1869537184903095,17.353414453749597
richardson_lucy,0.1,3.0,0.18141465347969452,17.342282992845785
tv_montalto,0.1,0.04,0.49987376061905836,21.121396612814266
tv_montalto,0.1,0.08,0.4781064287950066,20.767914360525936
tv_montalto,0.1,0.12,0.46509552185534075,20.52626982158773
tv_montalto,0.1,0.18,0.4532412407249959,20.356567676676814
