noise_sigma,method,psnr,ssim,mae,delta_psnr_vs_blurred,delta_ssim_vs_blurred
0.01,wiener,22.842124274031278,0.5978222271623981,0.05316184787079692,2.4940357824784787,0.12972982480420023
0.01,tv_montalto,22.730830941346422,0.5906149063013939,0.05103039353465041,2.382742449793624,0.12252250394319603
0.01,richardson_lucy,22.255864635181865,0.5617555767384352,0.057134196472664676,1.9077761436290697,0.09366317438023737
0.01,blurred,20.348088491552797,0.4680924023581979,0.07196137774735689,0.0,0.0
0.05,tv_montalto,21.66703217261814,0.5324313684542793,0.05857918163140615,2.4131392380618544,0.2530338187874058
0.05,wiener,19.90887994213925,0.497038913679045,0.08091359585523605,0.6549870075829681,0.21764136401217152
0.05,richardson_lucy,20.053731886491658,0.33280653740903204,0.077248174076279,0.7998389519353725,0.05340898774215852
0.05,blurred,19.253892934556283,0.2793975496668735,0.08491191919893026,0.0,0.0
0.1,tv_montalto,21.121396612814266,0.49987376061905836,0.06318436935544014,4.069921254656285,0.3440575985873188
0.1,wiener,17.67947350127024,0.44651488145522694,0.10853805392980576,0.6279981431122595,0.29069871942348746
0.1,richardson_lucy,17.230356344427722,0.19260827720376997,0.10856251480678718,0.17888098626974328,0.03679211517203043
0.1,blurred,17.051475358157983,0.15581616203173954,0.11137363252540429,0.0,0.0
